⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
𰀥	〔※󰃧※󰁻※󰃦※󰂻※☯※ncnh※〕
𰀦	〔※󰃧※󰃧※󰀝※※☯※nng※〕
𰀧	〔※󰁐※󰂺※󰀼※󰃏※☯※nhmk※〕
𰀩	〔※󰄼※󰂷※󰄼※󰂷※☯※ygyg※〕
𰀪	〔※󰁤※󰄋※󰄋※※☯※rtt※〕
𰀫	〔※󰄋※󰁊※󰁫※※☯※tnv※〕
𰀬	〔※󰂖※󰂂※󰄤※󰁧※☯※bnwu※〕
𰀭	〔※󰄌※󰁩※󰄮※󰂫※☯※tuxe※〕
𰀮	〔※󰄋※󰃧※󰄅※󰃜※☯※tnsm※〕
𰀯	〔※󰂖※󰃁※󰄼※󰄣※☯※biyv※〕
𰀰	〔※󰄺※󰄺※󰄺※󰀅※☯※nnnb※〕
𰀱	〔※󰄽※󰄽※󰀅※※☯※bbb※〕
𰀲	〔※󰂢※󰂿※󰃝※󰀅※☯※dhnb※〕
𰀳	〔※󰄺※󰁼※󰄻※󰄼※☯※ndny※〕
𰀴	〔※󰂬※󰃝※󰀅※※☯※enb※〕
𰀵	〔※󰄋※󰃘※󰄃※󰁫※☯※tmnv※〕
𰀶	〔※󰃆※󰃱※󰃝※󰀅※☯※ipnb※〕
𰀷	〔※󰃘※󰁰※󰄻※󰁀※☯※mwnn※〕
𰀸	〔※󰂓※󰂓※󰀅※※☯※bbb※〕
𰀹	〔※󰄌※󰃝※󰀅※※☯※tnb※〕
𰀻	〔※󰄠※󰃏※󰄻※󰁀※☯※vknn※〕
𰀼	〔※󰄺※󰂙※󰃏※󰀌※☯※nckd※〕
𰀽	〔※󰄈※󰃝※󰀅※※☯※snb※〕
𰀾	〔※󰄇※󰄃※󰁫※※☯※snv※〕
𰀿	〔※󰄥※󰂇※󰃝※󰀅※☯※wanb※〕
𰁀	〔※󰄺※󰄕※󰂉※󰀵※☯※nuak※〕
𰁁	〔※󰂮※󰁾※󰃝※󰀅※☯※fhnb※〕
𰁂	〔※󰀐※󰀞※󰂫※󰃝※☯※egen※〕
𰁃	〔※󰄁※󰄦※󰃝※󰀅※☯※rwnb※〕
𰁄	〔※󰀣※󰄦※󰃝※󰀅※☯※hwnb※〕
𰁅	〔※󰃏※󰂵※󰃝※󰀅※☯※kfnb※〕
𰁆	〔※󰁿※󰂝※󰃏※󰃝※☯※tdkn※〕
𰁇	〔※󰄡※󰂶※󰃃※󰄼※☯※vgiy※〕
𰁈	〔※󰁈※󰂁※󰂺※󰄄※☯※nnhr※〕
𰁉	〔※󰃊※󰂶※󰁾※󰃝※☯※jghn※〕
𰁊	〔※󰃛※󰃉※󰃝※󰀅※☯※mjnb※〕
𰁋	〔※󰄺※󰃏※󰃏※󰃏※☯※nkkk※〕
𰁌	〔※󰄺※󰄓※󰄓※󰀌※☯※nuud※〕
𰁍	〔※󰃊※󰂮※󰁻※󰃝※☯※jfcn※〕
𰁎	〔※󰃶※󰂋※󰁃※󰃝※☯※qann※〕
𰁏	〔※󰄺※󰄔※󰄔※󰀵※☯※nuuk※〕
𰁐	〔※󰀥※󰃊※󰃒※󰁏※☯※hjln※〕
𰁑	〔※󰅆※󰂎※󰄋※󰄻※☯※ebtn※〕
𰁒	〔※󰂒※󰂒※󰀢※※☯※bbh※〕
𰁓	〔※󰀟※󰁻※󰃸※󰂻※☯※gcqh※〕
𰁔	〔※󰂶※󰂾※󰃸※󰂻※☯※ghqh※〕
𰁕	〔※󰂌※󰂭※󰀘※※☯※aff※〕
𰁖	〔※󰂭※󰄥※󰂺※󰀬※☯※fwhj※〕
𰁗	〔※󰂭※󰃡※󰂃※󰁧※☯※fnyu※〕
𰁘	〔※󰂶※󰂮※󰃷※󰂶※☯※gfqg※〕
𰁙	〔※󰂭※󰃜※󰂺※󰄤※☯※fmhw※〕
𰁚	〔※󰂶※󰀚※󰂶※󰂇※☯※gfga※〕
𰁛	〔※󰂭※󰂙※󰃊※󰂘※☯※fcjc※〕
𰁝	〔※󰄶※󰄃※󰂧※󰂧※☯※ynee※〕
𰁟	〔※󰄶※󰄃※󰃁※󰃏※☯※ynik※〕
𰁠	〔※󰁸※󰃱※󰃺※󰂫※☯※ypqe※〕
𰁡	〔※󰄥※󰁥※󰂃※󰁶※☯※wtyy※〕
𰁢	〔※󰄥※󰃡※󰁥※※☯※wnt※〕
𰁣	〔※󰄥※󰄬※󰁀※※☯※wxn※〕
𰁤	〔※󰂭※󰃺※󰄤※󰀦※☯※fqwi※〕
𰁥	〔※󰄥※󰃜※󰂘※󰁶※☯※wmcy※〕
𰁦	〔※󰄥※󰄏※󰁶※※☯※wty※〕
𰁧	〔※󰄥※󰄤※󰄤※󰁶※☯※wwwy※〕
𰁨	〔※󰄥※󰄋※󰂺※󰁈※☯※wthn※〕
𰁩	〔※󰄤※󰁦※󰂱※󰀵※☯※wufk※〕
𰁪	〔※󰄥※󰂘※󰂘※󰁶※☯※wccy※〕
𰁫	〔※󰄥※󰃿※󰄆※󰀢※☯※wrsh※〕
𰁬	〔※󰄥※󰃜※󰂝※󰁶※☯※wmdy※〕
𰁭	〔※󰄥※󰅆※󰃝※󰁀※☯※wenn※〕
𰁮	〔※󰃽※󰄤※󰁶※※☯※rwy※〕
𰁯	〔※󰄤※󰄼※󰂁※󰀩※☯※wyni※〕
𰁰	〔※󰄬※󰀯※󰄤※󰁧※☯※xjwu※〕
𰁱	〔※󰄥※󰂝※󰃠※󰁀※☯※wdnn※〕
𰁲	〔※󰄥※󰂱※󰀿※󰂶※☯※wfmg※〕
𰁳	〔※󰄥※󰂋※󰄀※󰀢※☯※warh※〕
𰁴	〔※󰄥※󰂮※󰂶※󰀛※☯※wfgf※〕
𰁵	〔※󰄥※󰂯※󰂍※󰀝※☯※wfbg※〕
𰁶	〔※󰄥※󰀁※󰃘※󰄼※☯※wamy※〕
𰁷	〔※󰄥※󰃋※󰂺※󰃝※☯※wjhn※〕
𰁸	〔※󰄥※󰃆※󰄢※󰀝※☯※wivg※〕
𰁹	〔※󰄥※󰃌※󰀢※※☯※wjh※〕
𰁺	〔※󰄤※󰀥※󰃜※󰄄※☯※whmr※〕
𰁻	〔※󰄤※󰃏※󰃜※󰂺※☯※wkmh※〕
𰁼	〔※󰄥※󰄋※󰃜※󰃏※☯※wtmk※〕
𰁽	〔※󰄤※󰀯※󰄤※󰀯※☯※wjwj※〕
𰁾	〔※󰄥※󰃸※󰃚※󰁶※☯※wqmy※〕
𰁿	〔※󰄤※󰃒※󰃏※󰀘※☯※wlkf※〕
𰂀	〔※󰄥※󰃼※󰂶※󰃏※☯※wrgk※〕
𰂁	〔※󰄥※󰄷※󰃉※󰀢※☯※wyjh※〕
𰂂	〔※󰄥※󰃁※󰂆※󰀝※☯※wiag※〕
𰂃	〔※󰄥※󰁬※󰂳※󰁶※☯※wvfy※〕
𰂄	〔※󰄥※󰄬※󰄤※󰂶※☯※wxwg※〕
𰂅	〔※󰄤※󰂶※󰃏※󰃘※☯※wgkm※〕
𰂆	〔※󰄥※󰂮※󰄻※󰂮※☯※wfnf※〕
𰂇	〔※󰄥※󰃛※󰁶※※☯※wmy※〕
𰂈	〔※󰄥※󰂺※󰃁※󰄟※☯※whiv※〕
𰂉	〔※󰄥※󰁿※󰁪※󰁶※☯※wtuy※〕
𰂊	〔※󰄥※󰄄※󰁼※󰃏※☯※wrdk※〕
𰂋	〔※󰄥※󰄙※󰃊※󰀝※☯※wujg※〕
𰂌	〔※󰄥※󰄼※󰃡※󰃏※☯※wynk※〕
𰂍	〔※󰄥※󰂙※󰃅※󰂘※☯※wcic※〕
𰂎	〔※󰄥※󰄙※󰂧※󰀝※☯※wueg※〕
𰂏	〔※󰄥※󰂱※󰃦※󰂝※☯※wfnd※〕
𰂐	〔※󰄥※󰂣※󰄦※󰄠※☯※wdwv※〕
𰂑	〔※󰄤※󰂶※󰃜※󰂃※☯※wgmy※〕
𰂒	〔※󰄥※󰃜※󰄕※󰃘※☯※wmum※〕
𰂓	〔※󰄥※󰄋※󰂱※󰄮※☯※wtfx※〕
𰂔	〔※󰄥※󰄸※󰄤※󰄑※☯※wywu※〕
𰂕	〔※󰄤※󰃨※󰂧※󰀘※☯※woef※〕
𰂖	〔※󰄥※󰄬※󰀯※󰂿※☯※wxjh※〕
𰂗	〔※󰄥※󰂶※󰀶※󰂺※☯※wgkh※〕
𰂘	〔※󰄥※󰂝※󰄜※󰀢※☯※wduh※〕
𰂙	〔※󰄤※󰂶※󰄋※󰃉※☯※wgtj※〕
𰂚	〔※󰄤※󰂶※󰃊※󰂧※☯※wgje※〕
𰂛	〔※󰄥※󰃘※󰂮※󰂳※☯※wmff※〕
𰂜	〔※󰄥※󰃏※󰂺※󰃛※☯※wkhm※〕
𰂝	〔※󰄤※󰂾※󰂶※󰂱※☯※whgf※〕
𰂞	〔※󰄥※󰄼※󰃡※󰄤※☯※wynw※〕
𰂟	〔※󰄥※󰂶※󰁔※󰂶※☯※wgng※〕
𰂠	〔※󰄥※󰄫※󰂳※󰁶※☯※wxfy※〕
𰂡	〔※󰄥※󰂘※󰂘※󰂮※☯※wccf※〕
𰂢	〔※󰄥※󰄈※󰃢※󰁶※☯※wsny※〕
𰂣	〔※󰄥※󰄈※󰄸※󰁥※☯※wsyt※〕
𰂤	〔※󰄅※󰄤※󰄤※󰂱※☯※swwf※〕
𰂥	〔※󰄥※󰄅※󰄋※󰃕※☯※wstl※〕
𰂦	〔※󰄥※󰃀※󰃢※󰁶※☯※whny※〕
𰂧	〔※󰄤※󰃏※󰄦※󰂮※☯※wkwf※〕
𰂨	〔※󰄥※󰄋※󰃧※󰅂※☯※wtnp※〕
𰂩	〔※󰄥※󰃲※󰁶※󰂶※☯※wpyg※〕
𰂪	〔※󰄥※󰃛※󰄏※󰁶※☯※wmty※〕
𰂫	〔※󰄥※󰃅※󰂛※󰁤※☯※wicr※〕
𰂬	〔※󰄥※󰁢※󰃋※󰀝※☯※wqjg※〕
𰂭	〔※󰄥※󰃜※󰃋※󰁤※☯※wmjr※〕
𰂮	〔※󰄥※󰂾※󰂭※󰀤※☯※whfh※〕
𰂯	〔※󰄥※󰄍※󰁬※󰀟※☯※wtvg※〕
𰂰	〔※󰄥※󰄕※󰃬※󰃋※☯※wuoj※〕
𰂱	〔※󰄥※󰀧※󰃱※󰃾※☯※wipr※〕
𰂲	〔※󰄥※󰀧※󰃱※󰃺※☯※wipq※〕
𰂳	〔※󰄥※󰃱※󰃗※󰃮※☯※wplp※〕
𰂴	〔※󰄥※󰄦※󰄄※󰂏※☯※wwrb※〕
𰂵	〔※󰄤※󰄌※󰃩※󰃢※☯※wton※〕
𰂶	〔※󰄥※󰄶※󰃋※󰀔※☯※wyje※〕
𰂷	〔※󰄥※󰄑※󰃸※󰃛※☯※wuqm※〕
𰂸	〔※󰄥※󰄒※󰃔※󰀓※☯※wule※〕
𰂹	〔※󰄥※󰃰※󰀀※󰄬※☯※wpax※〕
𰂺	〔※󰄥※󰂶※󰂙※󰃏※☯※wgck※〕
𰂻	〔※󰄥※󰂧※󰄒※󰃚※☯※weum※〕
𰂽	〔※󰄥※󰄬※󰀯※󰀯※☯※wxjj※〕
𰂾	〔※󰄥※󰂝※󰂢※󰃊※☯※wddj※〕
𰂿	〔※󰄅※󰄤※󰄤※󰃯※☯※swwp※〕
𰃀	〔※󰄥※󰃰※󰄋※󰃐※☯※wptl※〕
𰃁	〔※󰄥※󰁸※󰂎※󰃨※☯※wybo※〕
𰃂	〔※󰄥※󰂯※󰃏※󰃨※☯※wfko※〕
𰃃	〔※󰂊※󰀜※󰂫※󰄅※☯※afes※〕
𰃄	〔※󰄅※󰄤※󰄤※󰃉※☯※swwj※〕
𰃅	〔※󰄥※󰄮※󰄌※󰃛※☯※wxtm※〕
𰃆	〔※󰄥※󰄋※󰂮※󰃚※☯※wtfm※〕
𰃇	〔※󰄥※󰃥※󰃐※󰄦※☯※wnlw※〕
𰃈	〔※󰄥※󰄬※󰀯※󰃈※☯※wxji※〕
𰃉	〔※󰄥※󰃋※󰁸※󰃛※☯※wjym※〕
𰃊	〔※󰃺※󰂽※󰀌※※☯※qhd※〕
𰃋	〔※󰂖※󰃏※󰃺※󰀅※☯※bkqb※〕
𰃌	〔※󰃆※󰂶※󰃺※󰂫※☯※igqe※〕
𰃍	〔※󰂟※󰃆※󰂶※󰃺※☯※digq※〕
𰃎	〔※󰃽※󰂺※󰃊※󰃺※☯※rhjq※〕
𰃏	〔※󰂭※󰃺※󰄋※󰂮※☯※fqtf※〕
𰃐	〔※󰃆※󰂶※󰃺※󰂥※☯※igqe※〕
𰃑	〔※󰃆※󰂶※󰃺※󰃙※☯※igqm※〕
𰃒	〔※󰃆※󰂶※󰃺※󰃢※☯※igqn※〕
𰃓	〔※󰃰※󰀐※󰀞※󰃺※☯※pegq※〕
𰃔	〔※󰃆※󰂶※󰃺※󰃺※☯※igqq※〕
𰃕	〔※󰃆※󰂶※󰃺※󰄻※☯※igqn※〕
𰃖	〔※󰄋※󰂃※󰂭※󰀯※☯※tyfj※〕
𰃗	〔※󰄋※󰂃※󰂱※󰀑※☯※tyfe※〕
𰃘	〔※󰄋※󰂃※󰃅※󰂝※☯※tyid※〕
𰃙	〔※󰃼※󰂶※󰃏※󰂃※☯※rgky※〕
𰃚	〔※󰄋※󰂃※󰃗※󰀬※☯※tylj※〕
𰃛	〔※󰂶※󰃏※󰄕※󰂃※☯※gkuy※〕
𰃜	〔※󰄋※󰂃※󰂊※󰄅※☯※tyas※〕
𰃝	〔※󰄕※󰂶※󰁓※󰄼※☯※ugny※〕
𰃞	〔※󰁿※󰄘※󰁧※※☯※tuu※〕
𰃟	〔※󰂚※󰄦※󰀦※※☯※cwi※〕
𰃠	〔※󰄦※󰂙※󰃜※󰄤※☯※wcmw※〕
𰃡	〔※󰃏※󰁡※󰃉※󰄦※☯※kqjw※〕
𰃢	〔※󰄦※󰂶※󰁔※󰃊※☯※wgnj※〕
𰃣	〔※󰄘※󰄤※󰂶※󰃏※☯※uwgk※〕
𰃤	〔※󰄕※󰅜※󰁈※󰂶※☯※ugng※〕
𰃥	〔※󰄘※󰄈※󰄟※󰀝※☯※usvg※〕
𰃦	〔※󰄋※󰃜※󰁫※※☯※tmv※〕
𰃧	〔※󰃜※󰄋※󰂯※󰀌※☯※mtfd※〕
𰃨	〔※󰃜※󰄑※󰂘※󰀦※☯※muci※〕
𰃩	〔※󰃜※󰁺※󰃋※󰀌※☯※majd※〕
𰃪	〔※󰃜※󰄞※󰂶※󰂾※☯※mvgh※〕
𰃫	〔※󰃰※󰂜※󰂺※󰃜※☯※pdhm※〕
𰃬	〔※󰂊※󰃜※󰂺※󰃦※☯※amhn※〕
𰃭	〔※󰃜※󰂂※󰄤※󰄤※☯※mnww※〕
𰃮	〔※󰀧※󰃱※󰀅※※☯※ipb※〕
𰃯	〔※󰃱※󰂶※󰄒※󰂱※☯※pguf※〕
𰃰	〔※󰃱※󰃙※󰀘※※☯※pmf※〕
𰃱	〔※󰃱※󰄞※󰃐※󰀘※☯※pvlf※〕
𰃲	〔※󰃱※󰃁※󰄅※󰄅※☯※piss※〕
𰃳	〔※󰃱※󰄓※󰃌※󰃚※☯※pujm※〕
𰃴	〔※󰃱※󰄓※󰃌※󰃛※☯※pujm※〕
𰃵	〔※󰄑※󰂱※󰀢※※☯※ufh※〕
𰃶	〔※󰄑※󰁰※󰄄※󰁶※☯※uwry※〕
𰃷	〔※󰄑※󰄤※󰂑※󰁀※☯※uwbn※〕
𰃹	〔※󰄑※󰄓※󰀝※※☯※uug※〕
𰃺	〔※󰄑※󰂗※󰁶※※☯※uby※〕
𰃻	〔※󰄑※󰁴※󰄮※󰂱※☯※uxxf※〕
𰃼	〔※󰄑※󰂶※󰄬※󰄤※☯※ugxw※〕
𰃽	〔※󰄑※󰃷※󰃊※󰀝※☯※uqjg※〕
𰃾	〔※󰄑※󰄼※󰄣※󰁶※☯※uyvy※〕
𰃿	〔※󰄑※󰂱※󰃦※󰂝※☯※ufnd※〕
𰄀	〔※󰄑※󰃿※󰄓※󰀝※☯※urug※〕
𰄁	〔※󰄑※󰂙※󰂝※󰂥※☯※ucde※〕
𰄂	〔※󰄑※󰂱※󰂇※󰃏※☯※ufak※〕
𰄃	〔※󰄑※󰂡※󰃊※󰂮※☯※udjf※〕
𰄄	〔※󰄑※󰄕※󰅘※󰃉※☯※uuej※〕
𰄅	〔※󰄑※󰂱※󰃱※󰃅※☯※ufpi※〕
𰄆	〔※󰄑※󰃆※󰃱※󰃺※☯※uipq※〕
𰄈	〔※󰄑※󰀙※󰁬※󰀝※☯※ufvg※〕
𰄉	〔※󰄑※󰃏※󰂺※󰀒※☯※ukhe※〕
𰄊	〔※󰄑※󰅋※󰃽※󰀝※☯※unrg※〕
𰄋	〔※󰄑※󰃏※󰂺※󰃋※☯※ukhj※〕
𰄌	〔※󰄑※󰂧※󰁺※󰃊※☯※ueaj※〕
𰄍	〔※󰄑※󰂮※󰄜※󰃮※☯※ufup※〕
𰄎	〔※󰄑※󰅆※󰁬※󰀑※☯※ueve※〕
𰄏	〔※󰄑※󰁢※󰃨※󰃊※☯※uqoj※〕
𰄐	〔※󰁰※󰄤※󰂶※󰂈※☯※wwga※〕
𰄑	〔※󰄋※󰂃※󰂺※󰂶※☯※tyhg※〕
𰄒	〔※󰂺※󰁎※󰂺※󰂶※☯※hnhg※〕
𰄓	〔※󰂺※󰂶※󰂺※󰄑※☯※hghu※〕
𰄔	〔※󰂔※󰃘※󰂔※󰃘※☯※bmbm※〕
𰄕	〔※󰂔※󰃘※󰁼※󰂍※☯※bmdb※〕
𰄖	〔※󰃻※󰁥※󰃍※󰂶※☯※qtjg※〕
𰄗	〔※󰂺※󰂶※󰂺※󰃢※☯※hghn※〕
𰄘	〔※󰂔※󰃘※󰄷※󰂐※☯※bmyb※〕
𰄙	〔※󰄦※󰃉※󰀢※※☯※wjh※〕
𰄚	〔※󰂁※󰀞※󰃉※󰀢※☯※ngjh※〕
𰄜	〔※󰃣※󰃉※󰀢※※☯※njh※〕
𰄝	〔※󰁍※󰁤※󰃉※󰀢※☯※nrjh※〕
𰄞	〔※󰂭※󰁓※󰄼※󰃉※☯※fnyj※〕
𰄟	〔※󰂢※󰂿※󰃉※󰀢※☯※dhjh※〕
𰄠	〔※󰂭※󰂙※󰄠※󰁥※☯※fcvt※〕
𰄡	〔※󰄠※󰃷※󰁤※󰁥※☯※vqrt※〕
𰄢	〔※󰄷※󰄠※󰁥※※☯※yvt※〕
𰄣	〔※󰁩※󰄮※󰄠※󰁣※☯※uxvr※〕
𰄤	〔※󰄟※󰃷※󰃠※󰁀※☯※vqnn※〕
𰄥	〔※󰄠※󰄼※󰄷※󰁶※☯※vyyy※〕
𰄦	〔※󰄓※󰄠※󰁣※※☯※uvr※〕
𰄧	〔※󰄠※󰂶※󰃹※󰃉※☯※vgqj※〕
𰄨	〔※󰂝※󰂅※󰃉※󰀢※☯※dgjh※〕
𰄩	〔※󰄋※󰂼※󰃉※󰀢※☯※thjh※〕
𰄪	〔※󰄄※󰄅※󰄠※󰁥※☯※rsvt※〕
𰄫	〔※󰄠※󰄋※󰃜※󰃏※☯※vtmk※〕
𰄬	〔※󰂝※󰅂※󰃉※󰀢※☯※dpjh※〕
𰄭	〔※󰂶※󰃜※󰄼※󰃉※☯※gmyj※〕
𰄮	〔※󰄠※󰂶※󰃅※󰄼※☯※vgiy※〕
𰄯	〔※󰂶※󰄒※󰄅※󰃉※☯※gusj※〕
𰄰	〔※󰄋※󰂮※󰃯※󰃉※☯※tfpj※〕
𰄱	〔※󰄦※󰄠※󰄅※󰂶※☯※wvsg※〕
𰄲	〔※󰃸※󰄢※󰃅※󰄋※☯※qvit※〕
𰄳	〔※󰂮※󰃋※󰂶※󰄠※☯※fjgv※〕
𰄴	〔※󰂝※󰃋※󰄻※󰄠※☯※djnv※〕
𰄵	〔※󰄄※󰄅※󰃉※󰄠※☯※rsjv※〕
𰄶	〔※󰄠※󰂙※󰂝※󰂥※☯※vcde※〕
𰄷	〔※󰄠※󰃾※󰄏※󰂟※☯※vrtd※〕
𰄸	〔※󰄠※󰃛※󰃉※󰀢※☯※vmjh※〕
𰄹	〔※󰃛※󰃉※󰄠※󰁥※☯※mjvt※〕
𰄺	〔※󰄶※󰄒※󰃱※󰃉※☯※yupj※〕
𰄻	〔※󰃗※󰅂※󰃉※󰀢※☯※lpjh※〕
𰄼	〔※󰄄※󰄅※󰃉※󰂶※☯※rsjg※〕
𰄽	〔※󰃪※󰁏※󰄀※󰄠※☯※onrv※〕
𰄾	〔※󰂹※󰄤※󰄤※󰃉※☯※gwwj※〕
𰄿	〔※󰂯※󰃱※󰂶※󰄠※☯※fpgv※〕
𰅀	〔※󰄠※󰄅※󰄅※󰄅※☯※vsss※〕
𰅁	〔※󰄠※󰃰※󰂜※󰃉※☯※vpdj※〕
𰅂	〔※󰃡※󰂮※󰄋※󰃉※☯※nftj※〕
𰅃	〔※󰃹※󰄅※󰄅※󰄠※☯※qssv※〕
𰅄	〔※󰃰※󰁯※󰂭※󰃉※☯※pwfj※〕
𰅅	〔※󰂊※󰀜※󰂫※󰃉※☯※afej※〕
𰅆	〔※󰄅※󰃜※󰃉※󰂰※☯※smjf※〕
𰅇	〔※󰄶※󰄒※󰃜※󰄠※☯※yumv※〕
𰅈	〔※󰃸※󰃏※󰁜※󰃉※☯※qkqj※〕
𰅉	〔※󰂭※󰀯※󰂫※󰁥※☯※fjet※〕
𰅊	〔※󰃊※󰂶※󰂫※󰁣※☯※jger※〕
𰅋	〔※󰁩※󰄮※󰂫※󰁥※☯※uxet※〕
𰅌	〔※󰂫※󰁂※󰀁※󰁀※☯※enan※〕
𰅍	〔※󰂶※󰄒※󰂝※󰂫※☯※gude※〕
𰅎	〔※󰂫※󰄎※󰂶※󰄆※☯※etgs※〕
𰅏	〔※󰂫※󰃏※󰀥※󰃡※☯※ekhn※〕
𰅐	〔※󰂎※󰂫※󰃕※󰀘※☯※belf※〕
𰅑	〔※󰂭※󰀯※󰃐※󰂫※☯※fjle※〕
𰅒	〔※󰃻※󰁥※󰄣※󰂫※☯※qtve※〕
𰅓	〔※󰁮※󰀄※󰁜※󰂫※☯※vaqe※〕
𰅔	〔※󰃀※󰃢※󰂫※󰁥※☯※hnet※〕
𰅕	〔※󰂶※󰀿※󰁺※󰂫※☯※gmae※〕
𰅖	〔※󰂶※󰃹※󰃉※󰀔※☯※gqje※〕
𰅗	〔※󰂫※󰄌※󰃷※󰀟※☯※etqg※〕
𰅘	〔※󰀐※󰀞※󰂫※󰃅※☯※egei※〕
𰅙	〔※󰂷※󰂉※󰄋※󰂫※☯※gate※〕
𰅚	〔※󰂫※󰃏※󰃫※󰃢※☯※ekon※〕
𰅛	〔※󰃷※󰄦※󰀦※※☯※qwi※〕
𰅜	〔※󰃷※󰁤※󰃒※󰁃※☯※qrln※〕
𰅞	〔※󰄥※󰂣※󰃷※󰃠※☯※wdqn※〕
𰅟	〔※󰃷※󰃠※󰁺※󰄦※☯※qnaw※〕
𰅠	〔※󰃻※󰁥※󰃍※󰃠※☯※qtjn※〕
𰅡	〔※󰀛※󰄋※󰄮※󰁀※☯※ftxn※〕
𰅢	〔※󰁴※󰄮※󰃸※󰄤※☯※xxqw※〕
𰅣	〔※󰂟※󰃺※󰁩※󰄮※☯※dqux※〕
𰅤	〔※󰂋※󰄌※󰀦※※☯※ati※〕
𰅥	〔※󰂋※󰂱※󰃦※󰂝※☯※afnd※〕
𰅦	〔※󰂋※󰀧※󰃊※󰂱※☯※aijf※〕
𰅧	〔※󰂋※󰄅※󰂼※󰀌※☯※ashd※〕
𰅨	〔※󰂋※󰃗※󰄀※󰀵※☯※alrk※〕
𰅩	〔※󰂋※󰂪※󰄤※󰃛※☯※aewm※〕
𰅪	〔※󰂋※󰂱※󰂘※󰀦※☯※afci※〕
𰅫	〔※󰂋※󰃹※󰂕※󰀵※☯※aqbk※〕
𰅬	〔※󰂋※󰃏※󰂗※󰀦※☯※akbi※〕
𰅭	〔※󰄦※󰂱※󰀬※※☯※wfj※〕
𰅮	〔※󰂖※󰂱※󰀬※※☯※bfj※〕
𰅯	〔※󰄺※󰄺※󰄺※󰂱※☯※nnnf※〕
𰅰	〔※󰂱※󰀿※󰂺※󰂶※☯※fmhg※〕
𰅱	〔※󰄄※󰂔※󰂱※󰀬※☯※rbfj※〕
𰅲	〔※󰂊※󰄃※󰂱※󰀬※☯※anfj※〕
𰅳	〔※󰂝※󰄒※󰂱※󰀬※☯※dufj※〕
𰅴	〔※󰂱※󰀿※󰂝※󰁧※☯※fmdu※〕
𰅵	〔※󰄮※󰄄※󰂔※󰂱※☯※xrbf※〕
𰅶	〔※󰂟※󰂚※󰀅※※☯※dcb※〕
𰅷	〔※󰂱※󰄞※󰂾※󰀝※☯※fvhg※〕
𰅸	〔※󰂱※󰀍※󰀖※󰁶※☯※fdey※〕
𰅹	〔※󰂱※󰀿※󰂺※󰂘※☯※fmhc※〕
𰅺	〔※󰄯※󰃚※󰄋※󰂱※☯※xmtf※〕
𰅻	〔※󰄥※󰁳※󰂱※󰃑※☯※wxfl※〕
𰅼	〔※󰄒※󰀟※󰄅※󰃨※☯※ugso※〕
𰅽	〔※󰀎※󰄦※󰄃※󰄼※☯※dwny※〕
𰅾	〔※󰄶※󰄒※󰃱※󰂉※☯※yupa※〕
𰅿	〔※󰄒※󰀠※󰂯※󰂥※☯※ugfe※〕
𰆀	〔※󰂱※󰃜※󰄕※󰂱※☯※fmuf※〕
𰆁	〔※󰄋※󰂉※󰄖※󰂮※☯※taaf※〕
𰆂	〔※󰂱※󰃜※󰄕※󰂱※☯※fmuf※〕
𰆃	〔※󰀥※󰃒※󰂝※󰁧※☯※hldu※〕
𰆅	〔※󰀥※󰃒※󰂶※󰃏※☯※hlgk※〕
𰆆	〔※󰀥※󰁰※󰂰※󰃜※☯※hwfm※〕
𰆇	〔※󰀥※󰃜※󰂘※󰂘※☯※hmcc※〕
𰆈	〔※󰀥※󰁰※󰄦※󰂝※☯※hwwd※〕
𰆉	〔※󰀥※󰃜※󰂈※󰂐※☯※hmab※〕
𰆊	〔※󰁹※󰂁※󰂺※※☯※bnh※〕
𰆋	〔※󰂕※󰂕※󰀢※※☯※bbh※〕
𰆌	〔※󰃋※󰁹※󰀬※※☯※jbj※〕
𰆍	〔※󰁿※󰂱※󰂕※󰀢※☯※tfbh※〕
𰆎	〔※󰂧※󰂕※󰄼※󰁶※☯※ebyy※〕
𰆏	〔※󰄋※󰂼※󰁹※󰀬※☯※thbj※〕
𰆐	〔※󰃊※󰂮※󰀈※󰀬※☯※jfbj※〕
𰆒	〔※󰄌※󰃩※󰁹※󰀬※☯※tobj※〕
𰆓	〔※󰂝※󰄤※󰄤※󰄼※☯※dwwy※〕
𰆔	〔※󰁆※󰃏※󰂅※󰄼※☯※nkgy※〕
𰆕	〔※󰂡※󰄼※󰄄※󰀦※☯※dyri※〕
𰆖	〔※󰂡※󰂭※󰃺※󰁫※☯※dfqv※〕
𰆗	〔※󰂡※󰄷※󰀦※※☯※dyi※〕
𰆘	〔※󰂡※󰄋※󰁽※󰀌※☯※dtgd※〕
𰆙	〔※󰂡※󰂶※󰄒※󰄅※☯※dgus※〕
𰆚	〔※󰂡※󰄤※󰂶※󰂶※☯※dwgg※〕
𰆛	〔※󰂡※󰂮※󰄼※󰄻※☯※dfyn※〕
𰆜	〔※󰂡※󰂽※󰃅※󰂘※☯※dhic※〕
𰆝	〔※󰂡※󰃋※󰄸※󰀏※☯※djye※〕
𰆞	〔※󰂡※󰂪※󰄡※󰁫※☯※devv※〕
𰆟	〔※󰂡※󰃩※󰀑※󰀌※☯※doed※〕
